0.49553,1.3221,1
-7.6615,-5.7644,1
-0.51141,1.9586,1
2.3214,5.0545,1
-2.0195,0.34092,1
-2.9861,-3.319,1
-6.5189,-4.7777,1
0.26641,2.3592,1
-4.8785,-3.5146,1
-4.8374,-2.8104,1
0.70224,3.3218,1
5.75,6.9757,1
-6.8286,-5.767,1
-1.7667,-0.5632,1
0.40435,1.8636,1
-1.5761,-0.63041,1
2.132,5.014,1
-5.185,-3.5251,1
3.2005,2.3888,1
-0.59964,1.9578,1
-1.5437,0.32573,1
-7.817,-5.1727,1
-3.6526,-3.2991,1
-0.70529,0.00506,1
-3.0048,-0.68425,1
-2.3935,-1.9034,1
-0.94264,-0.46249,1
-1.9343,0.23832,1
-1.283,-0.76194,1
-0.38848,1.1461,1
-1.1151,2.0278,1
-1.709,0.8766,1
1.9344,4.0634,1
-4.299,-2.2258,1
-5.9648,-6.0329,1
-4.1375,-0.82818,1
-4.0518,-1.7807,1
3.9041,6.4578,1
-7.0233,-4.9286,1
-1.1953,2.5819,1
-1.2685,1.1212,1
0.13147,2.5571,1
-6.8244,-5.791,1
4.198,5.8591,1
-3.3886,-0.98005,1
1.3651,2.1773,1
-5.7778,-3.8964,1
7.568,8.2219,1
-3.9977,-1.957,1
-8.2418,-4.6721,1
-1.0683,-4.0974,2
5.4001,2.4341,2
5.1599,2.5871,2
3.0834,-1.0177,2
4.1844,1.9339,2
0.39144,-1.5853,2
4.4168,0.1212,2
6.223,5.0323,2
1.2892,-0.29687,2
8.6351,5.7328,2
1.8482,-2.9414,2
-0.87547,-4.3877,2
-0.42572,-7.3642,2
-0.9233,-5.1256,2
-0.081171,-2.4433,2
1.0514,-3.0568,2
6.3585,2.43,2
2.7006,-0.25733,2
-0.75879,-1.2143,2
5.1726,0.86644,2
2.2665,-0.82415,2
0.7177,-1.7864,2
8.0069,4.1797,2
1.0234,-2.7906,2
4.8224,2.2581,2
1.5403,-1.2853,2
6.2164,4.5979,2
6.6096,3.8412,2
3.1687,-0.42044,2
4.238,1.7191,2
-0.11387,-1.283,2
2.0702,-0.85223,2
2.385,-0.11126,2
3.0375,0.049356,2
4.4861,2.4781,2
1.7149,-1.6982,2
2.2596,-0.61605,2
3.8097,0.053026,2
2.2318,-2.1668,2
-0.20323,-2.6196,2
7.2327,6.2794,2
4.0678,1.5098,2
0.49854,-1.0909,2
7.5293,3.8676,2
-2.1824,-2.9826,2
3.8817,-0.0083276,2
0.70057,-2.7706,2
5.1785,1.4548,2
3.4706,1.5744,2
6.6011,3.8681,2
